Slider Name	SliderValue
Chest Depth	0.65
Foot Breadth	1
Head Breadth	1
Buttock Depth	1
L Hand Breadth	1
L Leg Lth	1
L Lower Leg Circ	1
R Lower Leg Circ	1
R Leg Lth	1
R Hand Breadth	1
R ForeArm Lth	1
L ForeArm Lth	1
L Lower Leg Lth	1
R Upper Leg Lth	1
R Upper Leg Circ	1
L Upper Leg Circ	1
L Upper Leg Lth	1
R Lower Leg Lth	1
Upper Body Lth	1
R Hand Lth	1
L Hand Lth	1
R Arm Lth	1
Head Lth	1
Height	0.99
Chest Breadth	0.99
L Arm Lth	1
Neck	1
Levitate	0
L Shoulder Pos	0
R Shoulder Pos	0
Shoulder Size	1
Foot Length	1
Waist Breadth	1
Hip Breadth	1
Waist Depth	1
