Slider Name	SliderValue	HoverTime
Chest Depth	0.65	0
Foot Breadth	1	0
Head Breadth	1	0
Buttock Depth	1	0
L Hand Breadth	1	0
L Leg Lth	1	0
L Lower Leg Circ	1	0
R Lower Leg Circ	1	0
R Leg Lth	1	0
R Hand Breadth	1	0
R ForeArm Lth	1	0
L ForeArm Lth	1	0
L Lower Leg Lth	1	0
R Upper Leg Lth	1	0
R Upper Leg Circ	1	0
L Upper Leg Circ	1	0
L Upper Leg Lth	1	0
R Lower Leg Lth	1	0
Upper Body Lth	1	0
R Hand Lth	1	0
L Hand Lth	1	0
R Arm Lth	1	0
Head Lth	1	0
Height	0.99	0
Chest Breadth	0.99	0
L Arm Lth	1	0
Neck	1	0
Levitate	0	0
L Shoulder Pos	0	0
R Shoulder Pos	0	0
Shoulder Size	1	0
Foot Length	1	0
Waist Breadth	1	0
Hip Breadth	1	0
Waist Depth	1	0
